Tempo Classe P1,,,,Valor Classe P1,,,,Tempo Classe P2,,,,Valor Classe P2,,,,Tempo Classe M1,,,,Valor Classe M1,,,,Tempo Classe M2,,,,Valor Classe M2,,,,Tempo Classe G1,,,,Valor Classe G1,,,,Tempo Classe G2,,,,Valor Classe G2,,,
MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT
0.000006,0.000016,0.000011,0.000024,2542,2563,457,119,0.000007,0.000019,0.000011,0.000011,196,196,100,15,0.000061,0.000097,0.000140,0.000165,4700,4700,2099,295,0.000060,0.000774,0.000142,0.000157,198,199,200,19,0.000693,0.000745,0.001757,0.001621,4850,4850,4500,298,0.000751,0.058096,0.001626,0.001459,198,199,200,94
0.000008,0.000008,0.000013,0.000013,2318,2318,519,144,0.000007,0.000019,0.000011,0.000012,194,194,100,84,0.000061,0.000096,0.000138,0.000167,4400,4400,1600,230,0.000060,0.000620,0.000133,0.000163,200,200,200,94,0.000688,0.000722,0.001669,0.001472,5000,5000,5000,296,0.000707,0.057872,0.001647,0.001480,198,199,200,99
0.000006,0.000011,0.000013,0.000013,3306,3306,594,263,0.000006,0.000022,0.000011,0.000012,188,188,100,34,0.000070,0.000103,0.000139,0.000161,4100,4156,4100,240,0.000062,0.000873,0.000134,0.000159,194,197,200,85,0.000715,0.000957,0.001896,0.001622,4850,4850,3597,298,0.000754,0.053826,0.001619,0.001682,200,200,200,97
0.000007,0.000007,0.000012,0.000013,3645,3645,962,220,0.000006,0.000017,0.000012,0.000012,176,180,98,63,0.000072,0.000091,0.000137,0.000160,4800,4800,1298,251,0.000061,0.001079,0.000144,0.000159,194,197,199,74,0.000769,0.000709,0.001664,0.001486,4900,4900,4500,293,0.000708,0.058621,0.001631,0.001498,200,200,200,99
0.000006,0.000013,0.000013,0.000013,4005,4006,786,59,0.000006,0.000015,0.000022,0.000012,194,197,197,62,0.000061,0.000107,0.000138,0.000161,4950,4950,2000,293,0.000061,0.000746,0.000132,0.000155,198,199,200,94,0.000701,0.000738,0.001686,0.001521,5000,5000,5000,297,0.000712,0.056390,0.001639,0.001523,200,200,200,96
0.000008,0.000007,0.000013,0.000013,2602,2602,1494,233,0.000007,0.000007,0.000011,0.000012,194,197,197,62,0.000061,0.000093,0.000148,0.000159,4500,4500,3590,249,0.000061,0.000852,0.000132,0.000155,196,198,200,91,0.000690,0.000719,0.001644,0.001509,5000,5000,5000,298,0.000940,0.057856,0.001628,0.001481,200,200,200,95
0.000007,0.000013,0.000013,0.000013,3290,3290,1264,161,0.000006,0.000018,0.000011,0.000012,182,188,100,92,0.000061,0.000375,0.000137,0.000159,4455,4455,1399,165,0.000060,0.000730,0.000133,0.000156,194,197,200,82,0.000700,0.000735,0.001676,0.001927,4950,4950,3800,289,0.000705,0.063399,0.001652,0.001482,200,200,200,99
0.000007,0.000025,0.000026,0.000012,2480,2480,508,105,0.000006,0.000018,0.000012,0.000012,180,186,100,41,0.000061,0.000110,0.000138,0.000165,4800,4800,2099,265,0.000061,0.000810,0.000133,0.000158,200,200,200,87,0.000712,0.000719,0.001634,0.001478,4950,4950,3599,299,0.000757,0.071811,0.001616,0.001501,200,200,200,99
0.000007,0.000007,0.000013,0.000025,3195,3195,483,98,0.000007,0.000024,0.000012,0.000012,188,188,100,22,0.000061,0.000117,0.000139,0.000174,4500,4500,2099,292,0.000061,0.000774,0.000133,0.000158,200,200,200,79,0.000694,0.000786,0.001652,0.001478,4750,4750,4500,295,0.000737,0.065734,0.001628,0.001506,200,200,200,98
0.000007,0.000007,0.000013,0.000013,4700,4700,1200,271,0.000007,0.000031,0.000026,0.000012,186,193,193,39,0.000061,0.000100,0.000168,0.000180,4750,4750,1099,245,0.000072,0.000756,0.000133,0.000168,196,198,200,80,0.000728,0.000720,0.001649,0.001525,5000,5000,5000,299,0.000750,0.062807,0.001960,0.001488,198,199,200,97
0.000008,0.000022,0.000013,0.000013,3154,3154,298,276,0.000007,0.000018,0.000012,0.000012,200,200,200,50,0.000061,0.000126,0.000196,0.000194,4750,4750,4500,261,0.000060,0.000631,0.000132,0.000155,200,200,200,35,0.000720,0.000751,0.001634,0.001498,5000,5000,5000,297,0.000703,0.056491,0.001607,0.001497,198,199,200,98
0.000007,0.000015,0.000012,0.000035,2665,2665,1186,106,0.000007,0.000030,0.000012,0.000012,190,190,99,76,0.000061,0.000096,0.000158,0.000196,4650,4650,1098,280,0.000072,0.000676,0.000132,0.000157,198,199,200,73,0.000819,0.000717,0.001676,0.001490,4950,4950,3800,298,0.000757,0.062403,0.001666,0.001575,200,200,200,100
0.000006,0.000007,0.000012,0.000011,3465,3498,3465,115,0.000006,0.000021,0.000012,0.000013,198,198,198,66,0.000375,0.000107,0.000141,0.000159,4200,4200,1300,272,0.000063,0.000869,0.000134,0.000162,196,198,200,81,0.000734,0.000720,0.001660,0.001480,4750,4750,4100,299,0.000719,0.058541,0.001624,0.001483,198,199,200,100
0.000007,0.000006,0.000011,0.000011,4275,4275,584,137,0.000007,0.000023,0.000030,0.000013,198,198,198,12,0.000097,0.000108,0.000151,0.000184,4900,4900,4100,298,0.000061,0.000813,0.000133,0.000159,196,198,200,41,0.000719,0.000748,0.001673,0.001514,4900,4900,4500,297,0.000706,0.061468,0.001696,0.001524,200,200,200,99
0.000006,1.035136,0.000014,0.000012,4320,4320,696,53,0.000007,0.000040,0.000012,0.000013,200,200,200,42,0.000082,0.000560,0.000141,0.000170,4365,4368,3100,272,0.000061,0.000762,0.000133,0.000158,182,191,200,55,0.000699,0.000717,0.001682,0.001479,4950,4950,4500,293,0.000715,0.053557,0.001610,0.001537,200,200,200,100
0.000006,0.000006,0.000012,0.000012,4050,4050,1197,264,0.000007,0.000016,0.000103,0.000012,194,197,200,53,0.000061,0.000097,0.000139,0.000161,4600,4600,2600,262,0.000061,0.000795,0.000134,0.000169,196,198,200,11,0.000685,0.000719,0.001702,0.001496,5000,5000,5000,297,0.000729,0.062039,0.002067,0.001929,200,200,200,99
0.000006,0.000007,0.000012,0.000012,3116,3116,895,184,0.000006,0.000070,0.000025,0.000012,176,183,100,66,0.000061,0.000147,0.000136,0.000160,3977,4008,2397,284,0.000061,0.000871,0.000144,0.000157,196,198,200,84,0.000702,0.000711,0.001650,0.001493,4950,4950,3800,299,0.000954,0.058290,0.001633,0.001519,200,200,200,100
0.000006,0.000006,0.000011,0.000011,3550,3550,655,193,0.000007,0.000062,0.000012,0.000026,174,174,99,38,0.000061,0.000093,0.000139,0.000161,4350,4350,1500,200,0.000061,0.000500,0.000133,0.000155,200,200,200,75,0.000698,0.000722,0.001952,0.001671,4850,4850,4500,298,0.000798,0.059330,0.001619,0.001497,200,200,200,99
0.000007,0.000007,0.000012,0.000012,2376,2376,495,263,0.000006,0.000009,0.000012,0.000013,198,198,100,22,0.000061,0.000763,0.000162,0.000158,4500,4500,4500,242,0.000061,0.000560,0.000133,0.000175,200,200,200,81,0.000691,0.000721,0.001697,0.001491,5000,5000,5000,298,0.000706,0.060094,0.001615,0.001516,200,200,200,97
0.000006,0.000009,0.000011,0.000011,2625,2625,571,152,0.000008,0.000024,0.000012,0.000012,194,194,100,52,0.000060,0.000087,0.000148,0.000157,5000,5000,5000,299,0.000061,0.000803,0.000195,0.000169,192,196,200,81,0.000725,0.000781,0.001666,0.001523,5000,5000,5000,298,0.000713,0.058209,0.001604,0.001503,200,200,200,90
0.000007,0.000060,0.000012,0.000012,3686,3688,600,147,0.000007,0.000019,0.000024,0.000012,196,196,100,90,0.000061,0.000115,0.000161,0.000239,3813,3856,2193,167,0.000060,0.000756,0.000133,0.000158,200,200,200,46,0.000708,0.000718,0.001640,0.001484,5000,5000,5000,298,0.000732,0.061429,0.001624,0.001517,200,200,200,98
0.000030,0.000010,0.000013,0.000025,2403,2403,700,72,0.000007,0.000082,0.000030,0.000029,182,182,100,99,0.000060,0.000088,0.000157,0.000158,4950,4950,1597,268,0.000061,0.000642,0.000150,0.000186,198,199,199,56,0.000685,0.000724,0.001651,0.001502,4900,4900,4100,298,0.000702,0.060969,0.001615,0.001497,200,200,200,94
0.000006,0.000039,0.000025,0.000012,3517,3517,3517,111,0.000007,0.000007,0.000012,0.000026,200,200,200,31,0.000103,0.000097,0.000138,0.000157,5000,5000,5000,291,0.000229,0.000829,0.000135,0.000179,192,196,200,98,0.000693,0.000720,0.001649,0.001542,4900,4900,4500,294,0.000718,0.060402,0.001606,0.001542,198,199,200,99
0.000007,0.000008,0.000012,0.000024,3075,3085,572,177,0.000007,0.000052,0.000012,0.000013,180,180,98,83,0.000061,0.000487,0.000169,0.000198,4100,4110,4100,249,0.000061,0.000722,0.000133,0.000164,196,198,200,19,0.000698,0.000731,0.001638,0.001560,5000,5000,5000,296,0.000708,0.055890,0.001628,0.001491,200,200,200,99
0.000007,0.000007,0.000013,0.000012,3750,3750,3069,237,0.000007,0.000018,0.000012,0.000026,186,186,186,86,0.000059,0.000090,0.000136,0.000157,4450,4450,2796,260,0.000061,0.000778,0.000133,0.000160,188,193,100,75,0.000766,0.000734,0.001703,0.001551,4700,4700,4500,285,0.000723,0.052462,0.001676,0.001498,200,200,200,99
0.000007,0.000019,0.000025,0.000012,4950,4950,3599,82,0.000007,0.000017,0.000040,0.000012,194,196,100,94,0.000061,0.000096,0.000149,0.000189,4750,4750,1394,285,0.000061,0.000666,0.000132,0.000156,198,199,200,99,0.000704,0.000735,0.001661,0.001521,4950,4950,3100,297,0.000748,0.059396,0.001611,0.001478,200,200,200,96
0.000006,0.000006,0.000012,0.000013,4150,4150,300,200,0.000006,0.000039,0.000012,0.000025,200,200,200,40,0.000061,0.000219,0.000149,0.000529,3813,3860,2193,82,0.000061,0.000680,0.000132,0.000156,200,200,200,94,0.000940,0.000730,0.001723,0.001479,5000,5000,5000,297,0.000703,0.058981,0.001668,0.001491,200,200,200,98
0.000006,0.000010,0.000025,0.000022,2047,2092,494,198,0.000007,0.000034,0.000012,0.000012,184,184,100,69,0.000061,0.000805,0.000140,0.000159,3960,3972,3100,292,0.000061,0.000679,0.000132,0.000154,196,198,200,35,0.000721,0.000708,0.001661,0.001528,5000,5000,5000,297,0.000704,0.063526,0.001621,0.001477,198,199,200,97
0.000007,0.000007,0.000012,0.000012,3300,3300,3300,230,0.000020,0.000013,0.000011,0.000031,186,186,100,47,0.000063,0.000177,0.000138,0.000173,4500,4500,4500,277,0.000061,0.000729,0.000132,0.000154,194,197,200,68,0.000737,0.000725,0.001655,0.001503,4950,4950,4100,298,0.000727,0.056640,0.001643,0.001475,200,200,200,100
0.000006,0.000007,0.000012,0.000012,3526,3526,1058,157,0.000006,0.000026,0.000011,0.000012,200,200,200,15,0.000061,0.000105,0.000140,0.000170,4650,4650,2600,275,0.000061,0.000776,0.000132,0.000154,198,199,200,93,0.000696,0.000716,0.001668,0.001501,4900,4900,4500,293,0.000767,0.063182,0.001631,0.001475,200,200,200,98
